,precision,recall,f1-score,support
0,0.8492201039861352,0.8925318761384335,0.8703374777975134,549.0
1,0.8121019108280255,0.7456140350877193,0.7774390243902439,342.0
accuracy,0.8361391694725028,0.8361391694725028,0.8361391694725028,0.8361391694725028
macro avg,0.8306610074070804,0.8190729556130765,0.8238882510938786,891.0
weighted avg,0.8349727167133255,0.8361391694725028,0.8346794855805817,891.0
