epoch,cross_entropy_loss
1,3.3490154930943903
2,3.310904951164942
3,3.2752885644666647
4,3.2420670712947945
5,3.211137050309355
6,3.1823909184826547
7,3.155717213053479
8,3.1310011470314474
9,3.1081254124821847
10,3.086971189811604
11,3.067419307094515
12,3.0493514833567668
13,3.0326515851829794
14,3.0172068277851043
15,3.00290885947887
16,2.989654681244753
17,2.9773473689239847
18,2.965896582550651
19,2.95521886336271
20,2.9452377325808823
21,2.9358836160992574
22,2.927093625436768
23,2.9188112278524985
24,2.91098583802368
25,2.9035723609245463
26,2.8965307113670966
27,2.8898253308263993
28,2.8834247172720224
29,2.877300979182475
30,2.871429420980375
31,2.8657881639022786
32,2.860357803816313
33,2.855121105664793
34,2.8500627329440125
35,2.845169009832512
36,2.8404277131374176
37,2.835827891051953
38,2.831359705726611
39,2.8270142967885628
40,2.822783663150101
41,2.8186605606916677
42,2.8146384136633493
43,2.8107112379037984
44,2.806873574217008
45,2.803120430469141
46,2.7994472311670866
47,2.7958497734568635
48,2.792324188634202
49,2.7888669083931377
50,2.785474635153157
51,2.7821443159035213
52,2.778873119086824
53,2.7756584141146825
54,2.7724977531684387
55,2.7693888549884957
56,2.76632959039881
57,2.7633179693493295
58,2.7603521292898665
59,2.7574303247148673
60,2.754550917740579
61,2.751712369594825
62,2.7489132329155077
63,2.7461521447675548
64,2.743427820299584
65,2.740739046971525
66,2.738084679292938
67,2.735463634019111
68,2.7328748857583416
69,2.730317462949287
70,2.727790444172
71,2.725292954760399
72,2.7228241636875112
73,2.720383280697961
74,2.7179695536649295
75,2.715582266151219
76,2.713220735156179
77,2.7108843090321146
78,2.7085723655554537
79,2.7062843101394205
80,2.7040195741762396
81,2.7017776134980696
82,2.6995579069468825
83,2.697359955044421
84,2.6951832787541936
85,2.693027418328186
86,2.69089193223165
87,2.6887763961398923
88,2.6866804020015467
89,2.684603557163278
90,2.6825454835512867
91,2.6805058169054172
92,2.678484206061969
93,2.6764803122816794
94,2.674493808619612
95,2.6725243793339573
96,2.670571719330991
97,2.668635533643654
98,2.6667155369414175
99,2.6648114530692886
100,2.6629230146139515
101,2.661049962495228
102,2.6591920455811437
103,2.6573490203250505
104,2.6555206504233317
105,2.653706706492361
106,2.6519069657634633
107,2.6501212117947195
108,2.6483492341985446
109,2.646590828384042
110,2.64484579531321
111,2.6431139412701325
112,2.641395077642363
113,2.639689020713748
114,2.6379955914680004
115,2.636314615402369
116,2.634645922350811
117,2.6329893463160903
118,2.631344725310289
119,2.629711901203232
120,2.6280907195783683
121,2.626481029595684
122,2.6248826838612387
123,2.6232955383029477
124,2.6217194520522735
125,2.6201542873314794
126,2.618599909346143
127,2.6170561861826447
128,2.6155229887103473
129,2.614000190488228
130,2.61248766767571
131,2.610985298947467
132,2.60949296541201
133,2.6080105505338267
134,2.6065379400589146
135,2.605075021943515
136,2.6036216862858836
137,2.6021778252609558
138,2.600743333057737
139,2.5993181058193002
140,2.597902041585249
141,2.596495040236525
142,2.595097003442447
143,2.5937078346098645
144,2.592327438834333
145,2.590955722853202
146,2.589592595000534
147,2.5882379651637555
148,2.586891744741969
149,2.5855538466058396
150,2.5842241850589875
151,2.5829026758008125
152,2.581589235890686
153,2.58028378371345
154,2.578986238946159
155,2.5776965225260127
156,2.5764145566194245
157,2.575140264592174
158,2.573873570980597
159,2.5726144014637673
160,2.5713626828366296
161,2.570118342984035
162,2.5688813108556436
163,2.5676515164416687
164,2.5664288907494055
165,2.565213365780528
166,2.564004874509113
167,2.5628033508603725
168,2.5616087296900485
169,2.5604209467644576
170,2.55923993874115
171,2.558065643150169
172,2.556897998375871
173,2.555736943639298
174,2.554582418981076
175,2.5534343652448164
176,2.552292724061006
177,2.551157437831358
178,2.5500284497136207
179,2.548905703606812
180,2.5477891441368703
181,2.546678716642711
182,2.5455743671626636
183,2.5444760424212833
184,2.5433836898165185
185,2.542297257407226
186,2.5412166939010157
187,2.5401419486424244
188,2.539072971601388
189,2.5380097133620203
190,2.5369521251116813
191,2.535900158630317
192,2.534853766280078
193,2.5338129009951897
194,2.5327775162720805
195,2.5317475661597486
196,2.530723005250365
197,2.529703788670107
198,2.5286898720702085
199,2.527681211618223
200,2.526677763989492
201,2.5256794863588197
202,2.5246863363923326
203,2.52369827223953
204,2.522715252525517
205,2.521737236343413
206,2.520764183246929
207,2.51979605324311
208,2.5188328067852446
209,2.5178744047659207
210,2.51692080851024
211,2.515971979769173
212,2.5150278807130624
213,2.5140884739252627
214,2.5131537223959106
215,2.5122235895158314
216,2.51129803907057
217,2.5103770352345456
218,2.509460542565325
219,2.508548525998015
220,2.5076409508397672
221,2.5067377827643917
222,2.505838987807082
223,2.5049445323592407
224,2.5040543831634094
225,2.503168507308296
226,2.502286872223901
227,2.5014094456767357
228,2.5005361957651324
229,2.499667090914646
230,2.4988020998735387
231,2.497941191708353
232,2.4970843357995687
233,2.4962315018373324
234,2.495382659817278
235,2.4945377800364117
236,2.4936968330890843
237,2.4928597898630227
238,2.492026621535446
239,2.4911972995692415
240,2.4903717957092155
241,2.489550081978404
242,2.488732130674455
243,2.4879179143660695
244,2.487107405889506
245,2.486300578345144
246,2.4854974050941103
