k,inertia,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,269.691,0.3213,1.267,95.6694
3,157.704,0.4666,0.7165,151.3351
4,108.9213,0.4939,0.7096,174.5952
5,65.5684,0.5547,0.5722,248.6493
6,55.0573,0.5399,0.6546,243.0879
7,44.8648,0.5281,0.7148,254.6212
8,37.1481,0.4567,0.7579,267.9142
9,32.3923,0.4571,0.7632,270.9484
10,29.6858,0.4362,0.7645,263.3497
