Model,Mean_Accuracy,Std_Accuracy,Mean_Precision,Std_Precision,Mean_Recall,Std_Recall,Mean_F1,Std_F1,Mean_ROC_AUC,Std_ROC_AUC
Gradient Boosting,0.8361057058565062,0.023596682017414425,0.8132234060388017,0.03669628185714021,0.7454816709292412,0.04946210451502912,0.7768454840427463,0.03570994061012265,0.8864315975873615,0.020159396767804066
Random Forest,0.8350009415604795,0.011768884966771998,0.819767090429108,0.01354315640659481,0.7308610400682012,0.03520365366236589,0.7722800611799672,0.02174986177402059,0.8785657787428711,0.021771701789551994
Decision Tree,0.8316364321134895,0.008197348561690056,0.820910036196145,0.037510180299188046,0.7248081841432225,0.06617328216054025,0.7664791257170227,0.0219587609897166,0.8607184624584141,0.02242426661212677
Logistic Regression,0.8316301550436258,0.017573268916365285,0.7964451652494082,0.024349675295230296,0.7541773231031543,0.036482409533614014,0.774362950144879,0.02659811108772526,0.8701006895487643,0.01780145288309004
